ID_DOMAINE,NOM_DOMAINE
1,Commercial - Ventes
2,Communication
3,Comptabilité - Fiscalité
4,Achats
5,Assistant(e)
6,Banque
7,Bureautique - PAO/CAO
8,Changement
9,Coaching
10,Contrôle de gestion
11,Création d’entreprise
12,Direction de l'entreprise
13,Efficacité professionnelle
14,Finance - Trésorerie
15,Droit des affaires
16,Droit social
17,Développement personnel
18,International
19,Logistique - Supply chain
20,Management
21,Formation de formateurs
22,Formations en anglais
23,Gestion du temps
24,IA - Digital
25,Immo
26,Informatique SI
27,Innovation créativité
28,Marketing
29,RSE - Dev. Durable
30,Relation client
31,Organisation - Audit
32,Paie/Admin.
33,Production - Lean
34,Projet
35,QVT
36,Qualité-Santé-Sécurité-Env
37,Secteur public
38,Soft skills
39,Ressources humaines
40,Travail à distance
41,Web
