ID_FORMATEUR,NOM_FORMATEUR,IMAGE,AVIS_MOYEN,NB_TOTAL_AVIS,NB_TOTAL_ETUDIANT,SITE_WEB,DESCRIPTION
1,Cegos,,,,,,
2,Cegos Paris,,,,,,
3,ifocop - Centre de Paris 13,,,,,,
4,Des Enjeux Et Des Hommes SARL,,,,,,
5,AFNOR Compétences,,,,,,
6,Stephenson Formation,,,,,,
7,MGCM,,,,,,
8,ESG Executive,,,,,,
9,Aprentiv' | Conseil et Formation Professionnelle,,,,,,
10,CIEFA Paris - Centre de Formation en Alternance,,,,,,
11,Aureïs Formation,,,,,,
12,IFCV - Formations & Alternance - Campus Anatole France,,,,,,
13,Afpa - Centre de Paris Politzer,,,,,,
14,ifocop - Centre de Rungis,,,,,,
15,ACP FORMATION,,,,,,
16,Formation Haccp,,,,,,
17,Mantra (ex GrowthMakers),,,,,,
18,École en ligne de DCG - Les Geeks des Chiffres,,,,,,
19,Scotwork,,,,,,
20,Centre de Formation Professionnelle Softec - Paris,,,,,,
21,ADIEL BY SUP SANTE,,,,,,
22,Groupe GEFOR,,,,,,
23,BusinessDigital.fr Formation Intelligence Artificielle,,,,,,
24,Formaposte Ile-de-France,,,,,,
25,ISM - Institut Supérieur du Marketing,,,,,,
26,EFE Formation,,,,,,
27,C.F.P.A Centre Formation et Perfectionnement à l'Achat,,,,,,
28,achatpublic.com,,,,,,
29,ORSYS Formation,,,,,,
30,Nicomak,,,,,,
31,Aconsk - Conseil & Formation ERP,,,,,,
32,ITIC Paris,,,,,,
33,Kedge Business School - Campus Paris,,,,,,
34,Accedia | Formation Négociation et Coaching Négociation,,,,,,
35,Centre Européen de la Négociation,,,,,,
36,Effigest Formation,,,,,,
37,Eedge,,,,,,
38,Convergences Synergiques,,,,,,
39,Eco Efficacité Formation - Formation RGE Paris & IDF,,,,,,
40,CFC Formations,,,,,,
41,"ETRE Paris, l'école de la transition écologique",,,,,,
42,NEMETRA,,,,,,
43,LA RESERVE DES ARTS - Formation,,,,,,
44,Institut de la Durabilité,,,,,,
45,ACT&DO,,,,,,
46,Dans l'ère du temps,,,,,,
47,Fédération Régionale des Travaux Publics Île-de-France,,,,,,
48,Afifor,,,,,,
49,EcoLearn,,,,,,
50,Institut Français du Développement Durable,,,,,,
51,REA Formation,,,,,,
52,Growth Acceleration,,,,,,
53,Cforpro,,,,,,
54,CFORPRO,,,,,,
55,Place de la Formation - Logiciel collaboratif de gestion de la formation,,,,,,
