ID_FORMATION,TITRE_FORMATION,KEYWORDS,ID_SOUS_DOMAINE
230,L’expérience client au service de la fidélisation ,"Fidélisation client,  expérience client, négociation commerciale, techniques de vente, relation client,  marketing relationnel,  satisfaction client,  CRM,  Salesforce, Hubspot, Zoho CRM,  Pipedrive,  Microsoft Dynamics 365,  SugarCRM",72
231,Réussir sa relation de service interne ,"Relation client, service client, négociation commerciale, techniques de vente, fidélisation client, communication interne, management transversal,  CRM, Salesforce, Hubspot, Zoho CRM, Microsoft Dynamics 365, Pipedrive, Zendesk",72
232,L'essentiel de la négociation commerciale ,"Négociation commerciale, vente BtoB, techniques de vente, argumentaire commercial, prospection commerciale, closing, fidélisation client, Salesforce, Hubspot, Zoho CRM, Pipedrive,  Copper,  Freshsales,  Agile CRM",72
234,Négociation commerciale - niveau 2 : tactiques et comportements ,"Négociation, vente, prospection, relation client, closing, argumentaire, stratégie commerciale, techniques de vente,  comportement client, psychologie commerciale,  CRM,  Salesforce, Hubspot, Pipedrive",72
238,Répondre à un appel d'offre ,"Négociation commerciale,  techniques de vente,  rédaction offre,  appel d'offres,  prospection,  clients,  management,  CRM,  Salesforce,  HubSpot,  Zoho CRM,  Pipedrive,  Microsoft Dynamics 365,  Oracle Siebel",72
241,Réussir ses entretiens de vente à distance ,"prospection téléphonique, argumentaire vente, techniques de vente, négociation commerciale, relation client, fidélisation client, closing,  Zoom, Skype, Microsoft Teams, Google Meet, WebEx,GoToMeeting,  Salesforce",72
244,S'affirmer face aux clients difficiles - Niveau 1 ,"Négociation commerciale, techniques de vente, relation client, gestion des objections, communication assertive, argumentation commerciale, fidélisation client,  CRM, Salesforce, Hubspot, Zoho CRM, Pipedrive,  Microsoft Dynamics 365,  SugarCRM",72
247,"Commerciaux, développez votre leadership ","Vente, négociation, leadership, management, prospection, relation client, performance  Salesforce, HubSpot, Zoho CRM, Pipedrive,  LinkedIn Sales Navigator,  SAP, Microsoft Dynamics 365",72
251,Réussir une vente complexe ,"Négociation commerciale, techniques de vente, cycle de vente, closing, objections clients, fidélisation clients, prospection commerciale, CRM, Salesforce, Hubspot, Zoho CRM, Pipedrive, Microsoft Dynamics 365,  SugarCRM",72
253,Piloter et animer un réseau de distribution ," Management,  Négociation commerciale,  Stratégie commerciale,  Gestion de réseau,  Performance commerciale,  Animation d'équipe,  Fidélisation client,  CRM,  Force de vente,  Gestion de projet,  Analyse de marché,  Techniques de vente,  Salesforce,  HubSpot)",72
257,Le coaching efficace des commerciaux ,"Management commercial, coaching commercial, techniques de vente, développement commercial, performance commerciale, fidélisation client, stratégie commerciale,  Salesforce, HubSpot, Zoho CRM, Microsoft Dynamics 365, Pipedrive,  SugarCRM,  Agile CRM",133
262,Smarketing ," marketing digital, stratégie commerciale,  gestion de clientèle,  techniques de vente,  lead nurturing,  analyse des ventes,  développement commercial,  HubSpot, Salesforce,  Zoho CRM,  Pipedrive,  Microsoft Dynamics 365,  SugarCRM,  Oracle Siebel)",133
263,Culture digitale ," ventes, marketing digital, prospection, négociation, fidélisation, relation client, management d'équipe,  CRM, LinkedIn,  HubSpot, Salesforce,  Salesforce,  Google Ads,  Facebook Ads)",133
270,Responsable community management et marketing de contenus ,"Community management, marketing digital, stratégie de contenu, réseaux sociaux, communication digitale, relations publiques, branding,  Facebook, Instagram, Twitter, LinkedIn, TikTok, YouTube,  Snapchat",100
274,Les fondamentaux de la RSE (Responsabilité Sociétale des Entreprises) ,"Communication interne, communication externe, RSE, responsabilité sociale, développement durable, engagement citoyen, communication responsable,  influence, relations publiques,  médias sociaux,  réputation,  réseaux sociaux,  LinkedIn, Twitter",100
276,"Partenariats de mécénat, fondations, collecte de fonds privés ","Mécénat, fondation, collecte fonds, partenariat, communication interne, communication externe,  sponsoring,  relations publiques, stratégie communication,  marketing, fundraising, philanthropie,  don,  CRM.  Altru,  Benevity, Blackbaud, DonorPerfect, Salesforce",100
280,Communication de crise ,"Communication stratégique, relations publiques, gestion de crise, communication digitale, storytelling,  publicité,  influence,  Twitter, Facebook, LinkedIn, Instagram,  Hootsuite, Mailchimp,  ",100
285,Gérer les échanges avec un public hostile ,"Communication interne, communication externe, gestion de crise, relations publiques,  public hostile,  techniques de communication,  médiation.  Email,  téléphone, réseaux sociaux,  plateformes collaboratives, visioconférence,  logiciels de messagerie.",100
286,3h chrono pour communiquer dans l'urgence en cellule de crise ,"Communication de crise, gestion de crise, communication d'urgence, relations publiques, communication interne, communication externe, plan de communication.  Twitter, Facebook, Slack, WhatsApp, Email, SMS,  Presse",100
292,Réseaux sociaux niveau 2 - Stratégie de communication sur les médias sociaux ,"Communication digitale, stratégie web, community management,  influence marketing, relation client,  branding, e-réputation, Facebook, Instagram, Twitter, LinkedIn, TikTok, YouTube, Snapchat",100
295,"Publicité sur le Web et les réseaux sociaux : SEA, Display, Social ads, Retargeting ","Communication digitale, stratégie web, marketing digital, publicité en ligne, community management, gestion de crise, relations presse, Google Ads, Facebook Ads, LinkedIn Ads, Twitter Ads, Instagram Ads, TikTok Ads,  Snapchat Ads",100
299,Créer des contenus visuels pour le web et les réseaux sociaux ,"Communication digitale,  marketing digital,  réseaux sociaux,  contenu web,  infographie,  community management,  publicité en ligne, Photoshop, Illustrator,  InDesign, Canva,  Premiere Pro, After Effects,  Filmora",100
303,Réussir ses campagnes emailing ,"Emailing, campagne marketing, communication digitale, stratégie digitale, relation client,  publicité online,  marketing automation,  Mailchimp, Sendinblue, ActiveCampaign, HubSpot, Mailjet, ConvertKit,  GetResponse",100
306,Réussir ses événements ,"événements professionnels, communication digitale, relations publiques, gestion de projet,  planification évènementielle, stratégie de communication,  public cible,  Facebook, Twitter, LinkedIn, Instagram,  Mailchimp, Eventbrite, Hootsuite",100
312,Optimiser le référencement naturel (SEO) ,"SEO, référencement, communication digitale,  marketing digital, stratégie web,  contenu web,  audit SEO,  Google Search Console,  Google Analytics,  SEMrush,  Ahrefs,  Majestic SEO,  Moz,  HubSpot",100
316,S'entraîner à la prise de parole en public ,"prise de parole,  communication orale,  public speaking,  éloquence,  techniques oratoires,  confiance en soi,  gestion du stress,  méthodologie,  exercices pratiques,  atelier,  formation,  coaching,  vidéo,  webinaire,  Zoom,  Teams,  Skype,  Gotowebinar",101
320,Aller à l'essentiel à l'écrit et à l'oral ,"Communication efficace, prise de parole, expression écrite,  concision, clarté,  écoute active,  feedback,  techniques oratoires,  langage corporel,  écriture professionnelle,  Microsoft Teams, Zoom,  Slack,  Google Meet,  Skype",101
323,3h chrono pour valoriser son image en distanciel ,"Communication non verbale, prise de parole, élocution, confiance en soi,  techniques de communication,  impact,  influence,  Zoom, Microsoft Teams, Skype, Google Meet, WebEx,  GoToMeeting",101
325,Renforcer l'impact de ses prises de parole en public ,"prise de parole,  communication orale,  public speaking,  éloquence,  assurance,  confiance en soi,  impact,  techniques oratoires,  gestuelle,  méthodologie,  coaching,  formation,  ateliers,  séminaire.  Skype, Zoom, Google Meet,  Teams,  Discord,  Gather.town",101
327,Réussir ses présentations orales avec des supports visuels percutants ,"Présentation orale, prise de parole, communication verbale,  techniques oratoires,  langage corporel,  support visuel,  techniques de persuasion, PowerPoint,  Google Slides,  Prezi,  Canva,  Keynote,  Zoom,  Microsoft Teams",101
328,Prise de parole : captiver son auditoire ,"Orateur, éloquence, rhétorique, présentation, storytelling, confiance en soi, public,  techniques vocales,  langage corporel,  Microsoft Teams, Zoom, Google Meet,  Skype, Webex",101
