ID_FORMATION,DOMAINE_CATGEGORIE,SOUS_DOMAINE_CATEGORIE,FORMATION_COURS
230,Commercial - Ventes,Vente et négociation,L’expérience client au service de la fidélisation 
231,Commercial - Ventes,Vente et négociation,Réussir sa relation de service interne 
233,Commercial - Ventes,Vente et négociation,Négociation commerciale - niveau 1 : les 6 étapes gagnantes 
234,Commercial - Ventes,Vente et négociation,Négociation commerciale - niveau 2 : tactiques et comportements 
236,Commercial - Ventes,Vente et négociation,Négocier avec les acheteurs 
237,Commercial - Ventes,Vente et négociation,Vendre et négocier une hausse de tarif 
238,Commercial - Ventes,Vente et négociation,Répondre à un appel d'offre 
239,Commercial - Ventes,Vente et négociation,Réussir ses propositions et soutenances commerciales 
240,Commercial - Ventes,Vente et négociation,Répondre et remporter un appel d'offre en marché public 
241,Commercial - Ventes,Vente et négociation,Réussir ses entretiens de vente à distance 
242,Commercial - Ventes,Vente et négociation,3h chrono pour développer sa visibilité sur LinkedIn 
243,Commercial - Ventes,Vente et négociation,Développer l’activité commerciale grâce aux réseaux sociaux 
244,Commercial - Ventes,Vente et négociation,S'affirmer face aux clients difficiles - Niveau 1 
245,Commercial - Ventes,Vente et négociation,S'affirmer face aux clients difficiles - Niveau 2 
246,Commercial - Ventes,Vente et négociation,Pratiquer l'écoute active auprès de ses clients 
248,Commercial - Ventes,Vente et négociation,Convaincre les clients : les 5 clés de la persuasion 
249,Commercial - Ventes,Vente et négociation,Créer un climat de confiance avec ses clients 
251,Commercial - Ventes,Vente et négociation,Réussir une vente complexe 
252,Commercial - Ventes,Vente et négociation,Négocier avec la grande distribution 
253,Commercial - Ventes,Vente et négociation,Piloter et animer un réseau de distribution 
258,Commercial - Ventes,Management commercial,Construire et déployer sa stratégie commerciale 
259,Commercial - Ventes,Management commercial,Tableau de bord commercial : piloter la performance 
260,Commercial - Ventes,Management commercial,Bâtir et communiquer son plan d'actions commerciales 
261,Commercial - Ventes,Management commercial,Piloter et animer un réseau de distribution 
264,Commercial - Ventes,Management commercial,Prospecter avec LinkedIn 
266,Communication,Communication interne et externe,Métier Responsable Communication 
267,Communication,Communication interne et externe,Cycle : Chargé(e) de communication 
274,Communication,Communication interne et externe,Les fondamentaux de la RSE (Responsabilité Sociétale des Entreprises) 
275,Communication,Communication interne et externe,Engager les collaborateurs dans la démarche RSE 
282,Communication,Communication interne et externe,Gérer l'e-réputation de son entreprise 
283,Communication,Communication interne et externe,Réussir sa stratégie influenceurs 
285,Communication,Communication interne et externe,Gérer les échanges avec un public hostile 
286,Communication,Communication interne et externe,3h chrono pour communiquer dans l'urgence en cellule de crise 
287,Communication,Communication interne et externe,Concevoir et déployer le plan de communication 
288,Communication,Communication interne et externe,Dynamiser la communication interne 
289,Communication,Communication interne et externe,Évaluer l'efficacité de vos actions de marketing et communication 
