ID_FORMATION,DOMAINE_CATGEGORIE,SOUS_DOMAINE_CATEGORIE,FORMATION_COURS,KEYWORDS
230,Commercial - Ventes,Vente et négociation,L’expérience client au service de la fidélisation ,Fidélisation client  expérience client négociation commerciale techniques de vente relation client  marketing relationnel  satisfaction client  CRM  Salesforce Hubspot Zoho CRM  Pipedrive  Microsoft Dynamics 365  SugarCRM
231,Commercial - Ventes,Vente et négociation,Réussir sa relation de service interne ,Relation client service client négociation commerciale techniques de vente fidélisation client communication interne management transversal  CRM Salesforce Hubspot Zoho CRM Microsoft Dynamics 365 Pipedrive Zendesk
232,Commercial - Ventes,Vente et négociation,L'essentiel de la négociation commerciale ,Négociation commerciale vente BtoB techniques de vente argumentaire commercial prospection commerciale closing fidélisation client Salesforce Hubspot Zoho CRM Pipedrive  Copper  Freshsales  Agile CRM
233,Commercial - Ventes,Vente et négociation,Négociation commerciale - niveau 1 : les 6 étapes gagnantes ,Négociation vente prospection closing argumentaire relation client communication commerciale  techniques de vente  techniques de négociation stratégie commerciale CRM Salesforce Hubspot Pipedrive
234,Commercial - Ventes,Vente et négociation,Négociation commerciale - niveau 2 : tactiques et comportements ,Négociation vente prospection relation client closing argumentaire stratégie commerciale techniques de vente  comportement client psychologie commerciale  CRM  Salesforce Hubspot Pipedrive
235,Commercial - Ventes,Vente et négociation,Négociation commerciale complexe ,Négociation vente prospection closing argumentaire relation client fidélisation  CRM Salesforce Hubspot Zoho CRM Pipedrive  LinkedIn Sales Navigator  Copper
236,Commercial - Ventes,Vente et négociation,Négocier avec les acheteurs ,Négociation commerciale techniques de vente argumentaire commercial closing objections clients fidélisation clients prospection commerciale CRM Salesforce Hubspot Zoho CRM Pipedrive  Copper  Agile CRM
237,Commercial - Ventes,Vente et négociation,Vendre et négocier une hausse de tarif ,Négociation commerciale techniques de vente argumentation commerciale gestion des objections fidélisation client  hausse de prix  prospection commerciale  Salesforce HubSpot Zoho CRM Pipedrive  Copper CRM  Microsoft Dynamics 365  SAP CRM
238,Commercial - Ventes,Vente et négociation,Répondre à un appel d'offre ,Négociation commerciale  techniques de vente  rédaction offre  appel d'offres  prospection  clients  management  CRM  Salesforce  HubSpot  Zoho CRM  Pipedrive  Microsoft Dynamics 365  Oracle Siebel
239,Commercial - Ventes,Vente et négociation,Réussir ses propositions et soutenances commerciales ,Prospection commerciale argumentation commerciale techniques de vente négociation commerciale closing relation client fidélisation client CRM Salesforce Hubspot Zoho CRM Pipedrive Microsoft Dynamics 365  SugarCRM
240,Commercial - Ventes,Vente et négociation,Répondre et remporter un appel d'offre en marché public ,Appel d'offres marché public négociation commerciale réponse offres soumission stratégie vente  procédure achat public  documents marchés publics  rédaction offres  techniques vente  CRM  SAP Ariba  e-procurement  Oracle Procurement Cloud
241,Commercial - Ventes,Vente et négociation,Réussir ses entretiens de vente à distance ,prospection téléphonique argumentaire vente techniques de vente négociation commerciale relation client fidélisation client closing  Zoom Skype Microsoft Teams Google Meet WebExGoToMeeting  Salesforce
242,Commercial - Ventes,Vente et négociation,3h chrono pour développer sa visibilité sur LinkedIn , vente négociation prospection  réseaux sociaux LinkedIn learning  marketing digital visibilité  stratégie lead generation  cible  performance  réputation  Sales Navigator  Hootsuite)
243,Commercial - Ventes,Vente et négociation,Développer l’activité commerciale grâce aux réseaux sociaux ,Stratégie digitale prospection réseaux sociaux  marketing digital lead generation  vente en ligne  fidélisation client Facebook Instagram LinkedIn Twitter TikTok YouTube Pinterest
244,Commercial - Ventes,Vente et négociation,S'affirmer face aux clients difficiles - Niveau 1 ,Négociation commerciale techniques de vente relation client gestion des objections communication assertive argumentation commerciale fidélisation client  CRM Salesforce Hubspot Zoho CRM Pipedrive  Microsoft Dynamics 365  SugarCRM
245,Commercial - Ventes,Vente et négociation,S'affirmer face aux clients difficiles - Niveau 2 ,Négociation commerciale techniques de vente gestion des objections relation client communication assertive fidélisation client  cible commerciale  CRM Salesforce Hubspot Zoho CRM Pipedrive  Microsoft Dynamics 365  SugarCRM
246,Commercial - Ventes,Vente et négociation,Pratiquer l'écoute active auprès de ses clients ,Négociation commerciale techniques de vente relation client fidélisation client  écoute active communication persuasive vente BtoB  techniques de questionnement  CRM Salesforce Hubspot Zoho CRM Pipedrive  Microsoft Dynamics 365
247,Commercial - Ventes,Vente et négociation,"Commerciaux, développez votre leadership ",Vente négociation leadership management prospection relation client performance  Salesforce HubSpot Zoho CRM Pipedrive  LinkedIn Sales Navigator  SAP Microsoft Dynamics 365
248,Commercial - Ventes,Vente et négociation,Convaincre les clients : les 5 clés de la persuasion ,Négociation commerciale techniques de vente persuasion communication commerciale relation client closing objections clients  marketing digital CRM Salesforce Hubspot Zoho CRM Pipedrive  ActiveCampaign
249,Commercial - Ventes,Vente et négociation,Créer un climat de confiance avec ses clients ,Négociation commerciale relation client techniques de vente fidélisation client prospection commerciale closing argumentaire  Salesforce Hubspot Zoho CRM Pipedrive  Copper  Freshsales  Agile CRM
250,Commercial - Ventes,Vente et négociation,Développer les grands comptes et comptes stratégiques ,Développement commercial  prospection  négociation commerciale  gestion de comptes fidélisation clients  vente B2B stratégie commerciale Salesforce  HubSpot  Pipedrive Zoho CRM  Microsoft Dynamics 365  SAP CRM  LinkedIn Sales Navigator
251,Commercial - Ventes,Vente et négociation,Réussir une vente complexe ,Négociation commerciale techniques de vente cycle de vente closing objections clients fidélisation clients prospection commerciale CRM Salesforce Hubspot Zoho CRM Pipedrive Microsoft Dynamics 365  SugarCRM
252,Commercial - Ventes,Vente et négociation,Négocier avec la grande distribution ,Négociation commerciale techniques de vente relation client gestion des objections argumentaire commercial prospection fidélisation  grande distribution  supermarchés hypermarchés  grossistes  négociation BtoB  CRM Salesforce
253,Commercial - Ventes,Vente et négociation,Piloter et animer un réseau de distribution , Management  Négociation commerciale  Stratégie commerciale  Gestion de réseau  Performance commerciale  Animation d'équipe  Fidélisation client  CRM  Force de vente  Gestion de projet  Analyse de marché  Techniques de vente  Salesforce  HubSpot)
254,Commercial - Ventes,Management commercial,Directeur commercial ,Management commercial  techniques de vente  négociation commerciale  leadership commercial  fidélisation client  prospection commerciale  gestion d'équipe  Salesforce  HubSpot  Pipedrive  Zoho CRM  Microsoft Dynamics 365  SAP CRM  SugarCRM
255,Commercial - Ventes,Management commercial,Profession manager commercial ,Management commercial techniques de vente négociation commerciale fidélisation client prospection commerciale stratégie commerciale  performance commerciale  CRM Salesforce Hubspot Zoho CRM Pipedrive  Microsoft Dynamics 365  SugarCRM
256,Commercial - Ventes,Management commercial,Animez et motivez vos équipes commerciales ,Management d'équipe  techniques de vente  leadership commercial  motivation des équipes  performance commerciale  fidélisation clients  prospection commerciale  Salesforce  HubSpot  Zoho CRM  Microsoft Dynamics 365  Pipedrive  SugarCRM  SAP CRM
257,Commercial - Ventes,Management commercial,Le coaching efficace des commerciaux ,Management commercial coaching commercial techniques de vente développement commercial performance commerciale fidélisation client stratégie commerciale  Salesforce HubSpot Zoho CRM Microsoft Dynamics 365 Pipedrive  SugarCRM  Agile CRM
258,Commercial - Ventes,Management commercial,Construire et déployer sa stratégie commerciale ,Stratégie commerciale prospection fidélisation négociation  chiffre d'affaires  marketing  ventes  CRM Salesforce Hubspot Zoho CRM Pipedrive  Microsoft Dynamics 365  SugarCRM
259,Commercial - Ventes,Management commercial,Tableau de bord commercial : piloter la performance , performance commerciale gestion commerciale indicateurs clés stratégie commerciale reporting commercial analyse des ventes pilotage commercial  Salesforce  HubSpot Microsoft Dynamics 365 Zoho CRM SAP CRM Pipedrive  Copper)
260,Commercial - Ventes,Management commercial,Bâtir et communiquer son plan d'actions commerciales , plan d'action stratégie commerciale prospection négociation fidélisation objectifs commerciaux  performance commerciale  CRM  Salesforce  HubSpot  Zoho CRM  Pipedrive  Microsoft Dynamics 365)
261,Commercial - Ventes,Management commercial,Diriger et dynamiser votre réseau de distribution : excellence commerciale,Management commercial  techniques de vente  gestion d'équipe  fidélisation client  prospection commerciale  performance commerciale  stratégie commerciale  CRM  Salesforce  HubSpot  Zoho CRM  Microsoft Dynamics 365  Pipedrive  SAP
262,Commercial - Ventes,Management commercial,Smarketing , marketing digital stratégie commerciale  gestion de clientèle  techniques de vente  lead nurturing  analyse des ventes  développement commercial  HubSpot Salesforce  Zoho CRM  Pipedrive  Microsoft Dynamics 365  SugarCRM  Oracle Siebel)
263,Commercial - Ventes,Management commercial,Culture digitale , ventes marketing digital prospection négociation fidélisation relation client management d'équipe  CRM LinkedIn  HubSpot Salesforce  Salesforce  Google Ads  Facebook Ads)
264,Commercial - Ventes,Management commercial,Prospecter avec LinkedIn ,Prospection commerciale  techniques de vente  management d'équipe  réseaux sociaux professionnels  LinkedIn Sales Navigator  lead generation  fidélisation client  Salesforce  HubSpot  Zoho CRM  Pipedrive  Microsoft Dynamics 365  Google My Business  Mailchimp
265,Commercial - Ventes,Management commercial,Social selling , vente marketing négociation prospection fidélisation relation client management LinkedIn Salesforce HubSpot Twitter Facebook Instagram  Hootsuite)
